frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code,anomaly,score
1762616233.650038000,172.17.19.207,35.186.224.24,79,,56953.0,17,0.000436000,,65,,,,,True,,128,,,,-1,-0.022194106632381194
1762616233.667803000,172.17.19.207,35.186.224.24,74,,64107.0,17,0.017765000,,60,,,,,True,,128,,,,-1,-0.022194106632381194
1762616233.668964000,172.17.19.207,199.232.214.248,507,55450.0,,6,0.001161000,0x0018,493,,0,1,1,True,506,128,,,,-1,-0.004300414852023149
1762616233.673245000,172.17.19.207,35.186.224.24,75,,64107.0,17,0.000298000,,61,,,,,True,,128,,,,-1,-0.022194106632381194
1762616233.686921000,172.17.22.172,239.255.255.250,216,,57961.0,17,0.000213000,,202,,,,,False,,1,,*,,-1,-0.012269538463713814
1762616233.696608000,172.17.19.207,104.26.6.95,121,62741.0,,6,0.009687000,0x0018,107,,1,1,1,True,255,128,,,,-1,-0.03054770542926466
1762616233.708633000,172.17.19.207,35.186.224.24,79,,64107.0,17,0.000328000,,65,,,,,True,,128,,,,-1,-0.022194106632381194
1762616233.708838000,172.17.19.207,35.186.224.24,75,,64107.0,17,0.000205000,,61,,,,,True,,128,,,,-1,-0.022194106632381194
1762616233.719768000,172.17.19.207,199.232.214.248,54,55450.0,,6,0.000012000,0x0010,40,,0,454,2613,True,511,128,,,,-1,-0.020364913152991604
1762616233.764111000,172.17.19.207,35.186.224.24,77,,56953.0,17,0.000005000,,63,,,,,True,,128,,,,-1,-0.022194106632381194
1762616233.765810000,172.17.19.207,35.186.224.24,73,,56953.0,17,0.000288000,,59,,,,,True,,128,,,,-1,-0.022194106632381194
1762616233.767669000,172.17.19.207,35.186.224.24,73,,56953.0,17,0.000235000,,59,,,,,True,,128,,,,-1,-0.022194106632381194
1762616233.798189000,172.17.19.207,35.186.224.24,73,,56953.0,17,0.004249000,,59,,,,,True,,128,,,,-1,-0.022194106632381194
1762616233.803839000,172.17.19.207,35.186.224.24,75,,56953.0,17,0.004601000,,61,,,,,True,,128,,,,-1,-0.022194106632381194
1762616233.857210000,172.17.19.207,35.223.238.178,336,59090.0,,6,0.053371000,0x0018,322,,2,1,1,True,255,128,,,,-1,-0.01931854647854392
1762616233.892577000,172.17.17.31,224.0.0.251,102,,60606.0,17,0.000485000,,88,,,,,False,,1,,,,-1,-0.011125033988830246
1762616233.893980000,172.17.18.70,172.17.23.255,472,,55286.0,17,0.000416000,,458,,,,,False,,128,,,,-1,-0.01353463148900158
1762616233.942764000,172.17.19.207,104.26.6.95,54,62741.0,,6,0.000026000,0x0010,40,,1,68,390,True,254,128,,,,-1,-0.03368333475165064
1762616233.944960000,172.17.19.207,104.26.6.95,89,62741.0,,6,0.001986000,0x0018,75,,1,68,421,True,254,128,,,,-1,-0.03133675028236138
1762616234.096167000,172.17.17.104,224.0.0.251,102,,49816.0,17,0.000071000,,88,,,,,False,,1,,,,-1,-0.008336717825206952
1762616234.096610000,172.17.20.237,172.17.23.255,86,,57621.0,17,0.000113000,,72,,,,,False,,64,,,,-1,-0.009998552347203704
1762616234.182624000,172.17.19.207,35.223.238.178,54,59090.0,,6,0.000105000,0x0010,40,,2,283,326,True,254,128,,,,-1,-0.030198671275506017
1762616234.301254000,172.17.17.104,224.0.0.251,102,,49816.0,17,0.000000000,,88,,,,,False,,1,,,,-1,-0.008336717825206952
1762616234.301957000,172.17.17.31,224.0.0.251,102,,60606.0,17,0.000037000,,88,,,,,False,,1,,,,-1,-0.011125033988830246
1762616234.302664000,172.17.17.31,224.0.0.251,102,,60606.0,17,0.000707000,,88,,,,,False,,1,,,,-1,-0.011125033988830246
1762616234.506583000,172.17.17.104,224.0.0.251,102,,49816.0,17,0.000208000,,88,,,,,False,,1,,,,-1,-0.008336717825206952
1762616234.507151000,172.17.17.104,224.0.0.251,102,,49816.0,17,0.000568000,,88,,,,,False,,1,,,,-1,-0.008336717825206952
1762616234.508112000,172.17.17.31,224.0.0.251,102,,60606.0,17,0.000620000,,88,,,,,False,,1,,,,-1,-0.011125033988830246
1762616234.710687000,172.17.17.104,224.0.0.251,99,,49816.0,17,0.000000000,,85,,,,,False,,1,,,,-1,-0.008336717825206952
1762616234.711168000,172.17.17.31,224.0.0.251,99,,60606.0,17,0.000000000,,85,,,,,False,,1,,,,-1,-0.011125033988830246
1762616234.711812000,172.17.17.31,224.0.0.251,99,,60606.0,17,0.000000000,,85,,,,,False,,1,,,,-1,-0.011125033988830246
1762616234.712131000,172.17.17.31,224.0.0.251,92,,60606.0,17,0.000319000,,78,,,,,False,,1,,,,-1,-0.011125033988830246
1762616234.712682000,172.17.22.172,239.255.255.250,216,,57961.0,17,0.000148000,,202,,,,,False,,1,,*,,-1,-0.012269538463713814
1762616234.713170000,172.17.23.232,239.255.255.250,179,,57149.0,17,0.000488000,,165,,,,,False,,4,,*,,-1,-0.012269538463713814
1762616234.837897000,172.17.19.207,172.17.16.1,92,,55820.0,17,0.124727000,,78,,,,,False,,128,,,,-1,-0.015082754905025975
1762616234.839983000,172.17.19.207,13.89.179.11,66,59204.0,,6,0.000871000,0x0002,52,,3,0,0,True,65535,128,,,,-1,-0.029625346254035678
